Isolate Rep,Isolate.Name,95%OTU,99%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,"USA, Canada",Arnold South and Central America,"Mexico, S. & C.  America",Arnold Europe,Europe,Arnold Asia,Asia,Arnold Other,Other,Arnold Angiospermae,Angiospermae,Arnold Gymnosperm,"""Gymnosperm""",Arnold Seed-free vascular plants,Seed-free vascular plants,Arnold non-vascular plants,Non-vascular plants,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,"Arnold Wood, bark","Wood, bark",Arnold Root,Root,Arnold Seed,Seed,Arnold Soil,Soil,Arnold insect-associated,Insect-associated,"Arnold Fruit, inflorescence","Fruit, inflorescence"
FL0609,FL0609,261,88,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0638,FL0638,113,144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0641,FL0641,83,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0660,FL0660,26,111,9,0,9,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0662,FL0662,12,202,1,3,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FL0804,FL0804,144,40,5,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0821,FL0821,199,278,5,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0890,FL0890,192,357,137,0,137,0,0,0,0,0,0,0,0,0,15,0,24,0,1,0,6,0,91,0,25,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0915,FL0915,239,379,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0916,FL0916,84,378,1,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FL0933,FL0933,176,264,161,6,161,2,0,1,0,0,0,2,0,0,14,3,14,1,1,0,10,0,122,1,16,3,11,0,12,0,0,0,0,0,0,1,0,0,0,2,0,0
FL0961,FL0961,259,355,31,0,31,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,3,0,20,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0980,FL0980,212,369,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1015,FL1015,128,337,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1019,FL1019,194,273,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1025,FL1025,260,389,12,7,12,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1030,FL1030,118,31,6,8,6,0,0,5,0,0,0,2,0,0,0,7,1,0,0,0,0,0,5,0,0,9,0,0,1,0,0,4,0,2,0,1,0,0,0,0,0,0
