Isolate Rep,95%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,North America,Arnold South and Central America,South and Central America,Arnold Europe,Europe,Arnold Asia,Asia,Arnold Africa,Africa,Arnold Oceania,Oceania,Arnold Boreal/Subarctic,Boreal/Subarctic,Arnold Temperate,Temperate,Arnold Subtropical,Subtropical,Arnold Tropical,Tropical,Arnold Desert,Desert,Arnold Angiospermae,Angiospermae,Arnold Pinophyta,Pinophyta,Arnold Ginkgophyta,Ginkgophyta,Arnold Pteridophyta,Pteridophyta,Arnold Marchantiophyta,Marchantiophyta,Arnold Lycophyta,Lycophyta,Arnold Bryophyta,Bryophyta,Arnold Rhodophyta,Rhodophyta,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,Arnold Seed,Seed,Arnold Root,Root,Arnold Wood/Bark,Wood/Bark,Arnold Soil,Soil,Arnold insect nest,insect nest
NC0597,216,40,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,33,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FL1042,218,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL0455,221,19,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL1857,233,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ0048,234,136,49,136,35,0,6,0,6,0,0,0,0,0,0,0,0,126,21,10,0,0,0,0,23,0,6,10,35,0,0,0,0,0,0,1,1,10,4,0,0,115,1,11,24,5,0,5,0,0,0,0,1,0,6,0,0,0,0
FL0915,239,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1011,244,217,24,217,0,0,16,0,0,0,4,0,0,0,0,0,0,150,0,67,2,0,17,0,0,9,21,23,1,0,0,0,0,0,0,0,0,11,0,0,0,174,2,31,17,5,0,7,0,0,0,0,0,0,0,0,3,0,0
FL1408,252,6,49,6,1,0,13,0,0,0,16,0,1,0,2,0,0,0,1,6,1,0,26,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,0,0,0,1,0,3,0,2,0,0,0,0
FL0602,253,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL2044,254,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0961,259,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,20,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
FL1025,260,12,7,12,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0609,261,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1777,264,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL0359,266,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
